Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
SAE1,UNC79,HEK-293 cell
SMYD2,CDC37,HEK-293 cell
TRIP6,AFAP1L1,HEK-293 cell
VHL,FSCN1,HEK-293 cell
NUAK1,KRT77,HEK-293 cell
CASP4,MYCBPAP,HEK-293 cell
DGKE,SET,HEK-293 cell
MAGED1,GCN1L1,HEK-293 cell
PHLDA3,ATP5L,HEK-293 cell
DSTYK,MAD2L1,HEK-293 cell
SAE1,CYP1B1,HEK-293 cell
ACP6,DHCR7,HEK-293 cell
CD2BP2,PRPSAP1,HEK-293 cell
MAGED1,NEDD8,HEK-293 cell
PTP4A3,TTC27,HEK-293 cell
SNRPB,EFTUD2,HEK-293 cell
CD40,ERP44,HEK-293 cell
TRAF6,GANAB,HEK-293 cell
FAM107A,PPP2R2A,HEK-293 cell
WRAP73,CCAR2,HEK-293 cell
ARRB2,MRPL44,HEK-293 cell
EFHD1,KRT33B,HEK-293 cell
AKTIP,HDLBP,HEK-293 cell
GABARAPL2,EIF4G1,HEK-293 cell
MPDU1,QRICH2,HEK-293 cell
PHLDA3,SSR4,HEK-293 cell
PLRG1,CPVL,HEK-293 cell
VHL,IARS,HEK-293 cell
YWHAG,ANKS1A,HEK-293 cell
DGKE,PAICS,HEK-293 cell
DOCK4,HNRNPL,HEK-293 cell
GAPDH,QRICH2,HEK-293 cell
MAGED1,UBR5,HEK-293 cell
PITPNA,MLKL,HEK-293 cell
PSMD10,PSMD4,HEK-293 cell
SERINC3,KDELR2,HEK-293 cell
CD40,POLR2H,HEK-293 cell
BTG2,CNOT6L,HEK-293 cell
LYAR,DHX9,HEK-293 cell
MPDU1,RPS3A,HEK-293 cell
TWF2,CAPZA2,HEK-293 cell
PTP4A3,PRPSAP1,HEK-293 cell
RNPS1,PRPF3,HEK-293 cell
BSG,ATXN10,HEK-293 cell
CDK4,SMC3,HEK-293 cell
GSK3B,SMN2,HEK-293 cell
MAGED1,NUP160,HEK-293 cell
MCC,TARS,HEK-293 cell
NEK6,EML2,HEK-293 cell
PGRMC1,ABCD3,HEK-293 cell
RAB25,AP2S1,HEK-293 cell
SPOP,KPNA6,HEK-293 cell
VHL,PSMB3,HEK-293 cell
VHL,RASGRP1,HEK-293 cell
CCNH,RADIL,HEK-293 cell
ILK,MYO1D,HEK-293 cell
MPDU1,HERC2,HEK-293 cell
OSGEP,RAB5C,HEK-293 cell
TWF2,KRT36,HEK-293 cell
PTP4A3,TMEM33,HEK-293 cell
RASGRF2,PMVK,HEK-293 cell
RNPS1,AP2B1,HEK-293 cell
RNPS1,KHK,HEK-293 cell
ARF6,GART,HEK-293 cell
ATIC,HNRNPDL,HEK-293 cell
DGKB,KRT31,HEK-293 cell
MCC,PFKP,HEK-293 cell
TSSC1,MOB1A,HEK-293 cell
VHL,RAB1B,HEK-293 cell
CD2BP2,KHK,HEK-293 cell
CDK2,SORT1,HEK-293 cell
LYAR,RPS3A,HEK-293 cell
MCC,SNRNP200,HEK-293 cell
NEK6,DYNLL1,HEK-293 cell
PPM1B,PABPC4,HEK-293 cell
PSMD10,HIST1H2BC,HEK-293 cell
PTP4A3,MSH2,HEK-293 cell
PHB2,PDXDC1,HEK-293 cell
RNPS1,SREK1,HEK-293 cell
SIRT2,RTN4,HEK-293 cell
WRAP73,MTHFD1L,HEK-293 cell
ARRB1,CCL14,HEK-293 cell
GSK3B,IGF2BP1,HEK-293 cell
GSTK1,DDOST,HEK-293 cell
ILK,DNAAF5,HEK-293 cell
PHLDA3,TNPO3,HEK-293 cell
PNKP,SLC25A12,HEK-293 cell
PPM1B,ANXA1,HEK-293 cell
PTP4A3,KIAA1279,HEK-293 cell
SAP18,DDX3X,HEK-293 cell
TRAF6,DDX3X,HEK-293 cell
YWHAB,NCKAP1,HEK-293 cell
YWHAG,SNRNP200,HEK-293 cell
AES,HNRNPAB,HEK-293 cell
CDC20,YARS2,HEK-293 cell
EIF6,RPL21P97,HEK-293 cell
NEK6,SLC1A5,HEK-293 cell
PPP4C,PPP2CB,HEK-293 cell
CD40,SLC30A7,HEK-293 cell
CD40,TXN,HEK-293 cell
VHL,RBX1,HEK-293 cell
WRAP73,PFDN1,HEK-293 cell
ATIC,SNRPA,HEK-293 cell
ILK,RSU1,HEK-293 cell
EIF6,NPEPPS,HEK-293 cell
MAGED1,NUP205,HEK-293 cell
MCC,MTHFD1,HEK-293 cell
VHL,NEDD8,HEK-293 cell
NUAK1,S100A8,HEK-293 cell
CDK2,RADIL,HEK-293 cell
TMBIM4,PRPSAP1,HEK-293 cell
MAGED1,CALML5,HEK-293 cell
PTP4A3,NUP188,HEK-293 cell
RIOK3,SSR4,HEK-293 cell
RNPS1,PUF60,HEK-293 cell
VHL,TAGLN2,HEK-293 cell
ARF6,EIF6,HEK-293 cell
ARHGDIA,IGF2BP1,HEK-293 cell
ENSA,MCM3,HEK-293 cell
HTR1E,PSMC4,HEK-293 cell
MCC,PDCD10,HEK-293 cell
RIPK2,PHB2,HEK-293 cell
VHL,MOB4,HEK-293 cell
YWHAB,AKAP13,HEK-293 cell
HLA-B,PAICS,HEK-293 cell
CDK2,NEDD8,HEK-293 cell
KHK,CDK5RAP3,HEK-293 cell
RNPS1,TRA2B,HEK-293 cell
ASF1B,RBBP4,HEK-293 cell
ATIC,NDUFAF1,HEK-293 cell
CNKSR2,MOB3B,HEK-293 cell
DFFA,HERC1,HEK-293 cell
DYNLL1,DDX3X,HEK-293 cell
EPB41,VARS,HEK-293 cell
GSK3B,SNRNP70,HEK-293 cell
STYXL1,SMC1A,HEK-293 cell
USF2,SERPINB4,HEK-293 cell
ARRB2,MRPL43,HEK-293 cell
CASP4,SLC25A22,HEK-293 cell
DFFA,MCC,HEK-293 cell
AKTIP,DCTN1,HEK-293 cell
GSTK1,KIAA1279,HEK-293 cell
LYAR,RPL21,HEK-293 cell
MAGED1,BAG6,HEK-293 cell
MCC,PSME3,HEK-293 cell
NFKBIL1,KRT77,HEK-293 cell
PAK2,GIT2,HEK-293 cell
WRAP73,CEP135,HEK-293 cell
NUAK1,PRKAR1A,HEK-293 cell
ARRB2,FBL,HEK-293 cell
ASF1B,CHAF1A,HEK-293 cell
CNTF,EIF3E,HEK-293 cell
DFFA,NAP1L5,HEK-293 cell
DGKB,PCDHB5,HEK-293 cell
CHMP6,NXN,HEK-293 cell
LYAR,NAT10,HEK-293 cell
NEK6,NUP93,HEK-293 cell
TTBK1,NUP205,HEK-293 cell
UBE2G2,USP15,HEK-293 cell
VHL,CCDC59,HEK-293 cell
ARHGDIA,HNRNPAB,HEK-293 cell
TMBIM4,DFFA,HEK-293 cell
DGKE,NUF2,HEK-293 cell
GSTK1,CCAR2,HEK-293 cell
ILK,PARVB,HEK-293 cell
PAK2,MYH10,HEK-293 cell
PNKP,DNAAF5,HEK-293 cell
PPP4C,PPP4R2,HEK-293 cell
AURKA,CDKN2A,HEK-293 cell
USF2,HSPA4L,HEK-293 cell
VHL,JMJD1C,HEK-293 cell
ARRB1,JAK1,HEK-293 cell
CASP4,SMC1A,HEK-293 cell
CDK4,RPRM,HEK-293 cell
CTNNBIP1,RPA3,HEK-293 cell
HLA-A,UGGT1,HEK-293 cell
MCC,MARS,HEK-293 cell
PPM1B,ANXA2,HEK-293 cell
PTP4A3,HNRNPM,HEK-293 cell
RIOK3,CALM3,HEK-293 cell
YWHAZ,NOLC1,HEK-293 cell
NUAK1,S100A9,HEK-293 cell
ARRB1,RTF1,HEK-293 cell
BRE,FAM175B,HEK-293 cell
GAPDH,TXN,HEK-293 cell
MCC,CBR1,HEK-293 cell
NUP98,MOB1A,HEK-293 cell
OSGEP,DNAJA1,HEK-293 cell
DSTYK,ATP5F1,HEK-293 cell
RNPS1,SNRNP70,HEK-293 cell
TFE3,VARS,HEK-293 cell
VHL,CDO1,HEK-293 cell
YWHAG,KLC3,HEK-293 cell
CIAO1,MCM5,HEK-293 cell
TOR1A,DHCR7,HEK-293 cell
TOR1A,DYNC1H1,HEK-293 cell
EIF2B1,DCD,HEK-293 cell
ILK,AUP1,HEK-293 cell
MCC,VDAC1,HEK-293 cell
PINX1,RPL23A,HEK-293 cell
PHB2,DDX20,HEK-293 cell
SNRPB,HTATSF1,HEK-293 cell
CLEC3B,THRAP3,HEK-293 cell
VHL,PAPSS2,HEK-293 cell
WRAP73,CDK2,HEK-293 cell
YWHAG,LBR,HEK-293 cell
YWHAZ,RAI14,HEK-293 cell
YWHAZ,RALGPS2,HEK-293 cell
MAGED1,CCAR2,HEK-293 cell
STK36,ARMC6,HEK-293 cell
TBRG4,ASAP2,HEK-293 cell
USF2,PTP4A2,HEK-293 cell
ARRB2,PES1,HEK-293 cell
ASF1B,TTN,HEK-293 cell
CDC20,KRTAP19-5,HEK-293 cell
CDK2,OGT,HEK-293 cell
GNAS,PAICS,HEK-293 cell
MCC,STRIP1,HEK-293 cell
RIOK3,FBL,HEK-293 cell
SIRT2,KRT78,HEK-293 cell
TFE3,NEDD8,HEK-293 cell
TRAF6,EIF4E2,HEK-293 cell
YWHAG,RACGAP1,HEK-293 cell
CDK5RAP3,IGKC,HEK-293 cell
PINX1,GTPBP4,HEK-293 cell
PHB2,NUP93,HEK-293 cell
RNPS1,SRSF2,HEK-293 cell
TRAF6,TARS,HEK-293 cell
VHL,HIST1H2BC,HEK-293 cell
WRAP73,EBLN2,HEK-293 cell
CD2BP2,SNRPG,HEK-293 cell
EIF6,RRP15,HEK-293 cell
MAGED1,HEATR1,HEK-293 cell
PAK2,MCM3,HEK-293 cell
PARP3,HIST2H3C,HEK-293 cell
TWF2,ERC1,HEK-293 cell
RNPS1,CACTIN,HEK-293 cell
TNFRSF14,P4HB,HEK-293 cell
VDAC1,KIF5B,HEK-293 cell
ARHGDIA,EWSR1,HEK-293 cell
CDKN2C,QPCTL,HEK-293 cell
ELL,SIRT2,HEK-293 cell
EPB41,PAICS,HEK-293 cell
HNF4A,PABPC4,HEK-293 cell
ILK,NOC2L,HEK-293 cell
LYAR,NPM1,HEK-293 cell
STYXL1,RPS29,HEK-293 cell
OGG1,SNRPF,HEK-293 cell
GIPC1,MARS,HEK-293 cell
SMYD2,IGF2BP1,HEK-293 cell
CD40,DDX3X,HEK-293 cell
WRAP73,BAG6,HEK-293 cell
BIN3,ERH,HEK-293 cell
CDC42BPB,DCD,HEK-293 cell
EIF6,FUS,HEK-293 cell
EIF6,RPL34,HEK-293 cell
PGRMC1,SFXN1,HEK-293 cell
PNKP,ATAD3B,HEK-293 cell
PNKP,DDX20,HEK-293 cell
RIOK3,PSMB1,HEK-293 cell
HNF1A,CALM3,HEK-293 cell
WRAP73,LRPPRC,HEK-293 cell
YWHAZ,EDC3,HEK-293 cell
ASF1B,TONSL,HEK-293 cell
EIF6,YARS,HEK-293 cell
MCC,HPRT1,HEK-293 cell
NFKBIL1,CXorf56,HEK-293 cell
PINX1,RPS28,HEK-293 cell
RIPK2,RPS14,HEK-293 cell
TIMP2,PSMA7,HEK-293 cell
WRAP73,PSMD3,HEK-293 cell
ASF1B,HIST1H3F,HEK-293 cell
CASP4,CDK2,HEK-293 cell
CD2BP2,NUDT21,HEK-293 cell
CIAO1,USP11,HEK-293 cell
TOR1A,CNIH4,HEK-293 cell
ILK,IGF2BP1,HEK-293 cell
LYAR,GNL2,HEK-293 cell
NEK6,XPO5,HEK-293 cell
PASK,FBL,HEK-293 cell
PPP1CB,SH2D4A,HEK-293 cell
YWHAB,OSBPL3,HEK-293 cell
ARRB2,RPL7L1,HEK-293 cell
GSK3B,EWSR1,HEK-293 cell
IKBKE,PPP2R1A,HEK-293 cell
ILK,COPG1,HEK-293 cell
PGRMC1,DDOST,HEK-293 cell
RNPS1,SF3B3,HEK-293 cell
VHL,CCDC82,HEK-293 cell
HLA-B,RUVBL1,HEK-293 cell
CD2BP2,SNRPF,HEK-293 cell
DGKE,PDHA1,HEK-293 cell
GABARAPL2,EZR,HEK-293 cell
GSTK1,ZW10,HEK-293 cell
MAGED1,LRPPRC,HEK-293 cell
MAGED1,TIMM50,HEK-293 cell
NEK6,PTPLAD1,HEK-293 cell
NUP98,PARP11,HEK-293 cell
SAP18,NSF,HEK-293 cell
TRIP6,RPS14,HEK-293 cell
TTBK1,GABARAPL2,HEK-293 cell
YWHAG,BAIAP2,HEK-293 cell
YWHAZ,KIAA0930,HEK-293 cell
HLA-B,PSMD1,HEK-293 cell
ASF1B,UBXN1,HEK-293 cell
BAK1,DFFA,HEK-293 cell
TMBIM4,COX4I1,HEK-293 cell
EPB41,TAGLN2,HEK-293 cell
NUDT1,RNMTL1,HEK-293 cell
PHLDA3,MMS19,HEK-293 cell
PRKRA,PRPSAP1,HEK-293 cell
TFE3,RPL38,HEK-293 cell
UBE2G2,AUP1,HEK-293 cell
VHL,PSMD13,HEK-293 cell
VHL,TARS,HEK-293 cell
VHL,TPT1,HEK-293 cell
WRAP73,MTHFD1,HEK-293 cell
YWHAG,IGF1R,HEK-293 cell
IKBKE,RUVBL2,HEK-293 cell
MCC,PSMD2,HEK-293 cell
STYXL1,ATXN10,HEK-293 cell
NUP98,QRICH2,HEK-293 cell
PHLDA3,XPO5,HEK-293 cell
DSTYK,RPS9,HEK-293 cell
TRAF6,PAICS,HEK-293 cell
WRAP73,GPS1,HEK-293 cell
BAK1,ACTR2,HEK-293 cell
BAK1,MYCBP2,HEK-293 cell
CASP4,PSMB1,HEK-293 cell
EIF6,SORBS1,HEK-293 cell
PHLDA3,AHSA1,HEK-293 cell
DSTYK,DDT,HEK-293 cell
SAP18,EIF3E,HEK-293 cell
TFE3,TRIM28,HEK-293 cell
BCAR3,PABPC1,HEK-293 cell
CD2BP2,DCD,HEK-293 cell
CDK2,FBL,HEK-293 cell
GNAS,RUVBL1,HEK-293 cell
LYAR,DDX27,HEK-293 cell
USF2,S100A8,HEK-293 cell
VHL,RPA3,HEK-293 cell
ASF1B,DYNLL1,HEK-293 cell
CDK4,DBNL,HEK-293 cell
CDK4,GEMIN4,HEK-293 cell
EIF2B1,HNRNPL,HEK-293 cell
IKBKE,LARS,HEK-293 cell
ILK,S100A9,HEK-293 cell
KPTN,ITFG2,HEK-293 cell
MAGED1,SMC3,HEK-293 cell
PINX1,CALM3,HEK-293 cell
PPP1CB,TMEM33,HEK-293 cell
PTP4A3,CDK2,HEK-293 cell
PHB2,RUNX3,HEK-293 cell
DSTYK,LSM12,HEK-293 cell
STK24,DDX5,HEK-293 cell
WRAP73,ATP2A3,HEK-293 cell
YWHAZ,KLC4,HEK-293 cell
ACP6,LIMS1,HEK-293 cell
CDK2,CDK15,HEK-293 cell
EIF6,HAS1,HEK-293 cell
MCC,EZR,HEK-293 cell
WRAP73,VCP,HEK-293 cell
CASP4,SMC2,HEK-293 cell
CD2BP2,CREBRF,HEK-293 cell
GSTK1,FANCI,HEK-293 cell
EIF6,OAT,HEK-293 cell
PASK,PSMB1,HEK-293 cell
PINX1,PABPC4,HEK-293 cell
VHL,KNTC1,HEK-293 cell
VHL,MCC,HEK-293 cell
VHL,PCMT1,HEK-293 cell
WRAP73,SSR4,HEK-293 cell
ARRB2,RAB5C,HEK-293 cell
ILK,EWSR1,HEK-293 cell
ILK,PUF60,HEK-293 cell
LYAR,EIF3I,HEK-293 cell
MAGED1,DNAAF5,HEK-293 cell
PTP4A3,AIFM1,HEK-293 cell
RNPS1,DDX41,HEK-293 cell
AURKA,SOD2,HEK-293 cell
GABARAPL2,NEK9,HEK-293 cell
PASK,WDR5,HEK-293 cell
PHLDA3,ZW10,HEK-293 cell
DSTYK,RAB5C,HEK-293 cell
RNPS1,SRPK2,HEK-293 cell
SPOP,GDI1,HEK-293 cell
STAT1,BPIFB3,HEK-293 cell
CD2BP2,EWSR1,HEK-293 cell
CFLAR,DOK2,HEK-293 cell
HUS1,PSMA2,HEK-293 cell
MAGED1,CCDC59,HEK-293 cell
NEK6,FANCI,HEK-293 cell
PTP4A3,ATP1B3,HEK-293 cell
PHB2,TIMM50,HEK-293 cell
RNPS1,USP7,HEK-293 cell
SMYD2,AXIN1,HEK-293 cell
TNFRSF14,SEC11A,HEK-293 cell
UBE2M,PCED1A,HEK-293 cell
WRAP73,PFDN2,HEK-293 cell
CIAO1,DNAAF5,HEK-293 cell
GSTK1,MCM7,HEK-293 cell
MAGED1,FANCI,HEK-293 cell
PPP4C,CCDC6,HEK-293 cell
CDC20,KRTAP9-3,HEK-293 cell
GSTK1,MATR3,HEK-293 cell
ILK,MARS,HEK-293 cell
PHLDA3,XPO4,HEK-293 cell
STK24,G3BP2,HEK-293 cell
STK24,HNRNPH3,HEK-293 cell
YWHAB,CGN,HEK-293 cell
YWHAG,KIF23,HEK-293 cell
CASP4,MSH6,HEK-293 cell
CTNNBIP1,PPP2R1A,HEK-293 cell
ILK,PRPSAP1,HEK-293 cell
MAGED1,EIF3E,HEK-293 cell
MAGED1,SLC25A1,HEK-293 cell
MCC,PAICS,HEK-293 cell
PSPH,PRPSAP1,HEK-293 cell
RNPS1,RARS,HEK-293 cell
TFE3,EIF3A,HEK-293 cell
TFE3,RPA3,HEK-293 cell
TRAF6,ASXL2,HEK-293 cell
VDAC1,DCD,HEK-293 cell
YWHAG,KRT33B,HEK-293 cell
BCAR3,IMPDH2,HEK-293 cell
CASP4,EIF2S3,HEK-293 cell
GNAS,SHMT2,HEK-293 cell
KPTN,TSPAN7,HEK-293 cell
STYXL1,EHD4,HEK-293 cell
GIPC1,MMS19,HEK-293 cell
GIPC1,TAGLN,HEK-293 cell
BCAR3,IARS,HEK-293 cell
CASP4,CTNNBIP1,HEK-293 cell
CNOT8,MCM7,HEK-293 cell
GABARAPL2,VDAC1,HEK-293 cell
LYAR,KRT82,HEK-293 cell
MAGED1,AKAP8L,HEK-293 cell
VHL,CSTB,HEK-293 cell
VHL,CSTF3,HEK-293 cell
YWHAG,SON,HEK-293 cell
CDC20,KRTAP9-2,HEK-293 cell
EPB41,ECHS1,HEK-293 cell
TRAF6,TJP2,HEK-293 cell
YWHAG,KIAA0930,HEK-293 cell
ACP6,ERH,HEK-293 cell
LYAR,EBNA1BP2,HEK-293 cell
MAGED1,ATXN10,HEK-293 cell
MAGED1,COPG1,HEK-293 cell
PHB2,EPPK1,HEK-293 cell
RNPS1,DHX38,HEK-293 cell
STK24,PDCD6IP,HEK-293 cell
CD40,RNF219,HEK-293 cell
TRIP6,RNMTL1,HEK-293 cell
TTBK1,HEATR1,HEK-293 cell
VHL,HAS1,HEK-293 cell
ATG5,IMPDH2,HEK-293 cell
CDK4,UBXN1,HEK-293 cell
CDK5RAP3,IGHA1,HEK-293 cell
IKBKE,PSMA7,HEK-293 cell
MAGED1,NOC2L,HEK-293 cell
MCRS1,PRKAR1A,HEK-293 cell
STYXL1,PSPH,HEK-293 cell
NEK6,GCN1L1,HEK-293 cell
VHL,RPS9,HEK-293 cell
CDK4,SMC1A,HEK-293 cell
IKBKE,PDIA6,HEK-293 cell
NEK6,PCID2,HEK-293 cell
PINX1,RPS16,HEK-293 cell
YWHAZ,NADK,HEK-293 cell
ILK,DHX36,HEK-293 cell
EIF6,PAICS,HEK-293 cell
LYAR,RPL31,HEK-293 cell
MAGED1,IARS,HEK-293 cell
PPP4C,BAG6,HEK-293 cell
PTP4A3,MMS19,HEK-293 cell
PTP4A3,TNPO2,HEK-293 cell
RNPS1,PSME3,HEK-293 cell
STK24,ZBTB24,HEK-293 cell
VHL,IMPDH2,HEK-293 cell
WRAP73,ARMC6,HEK-293 cell
YWHAB,RMDN3,HEK-293 cell
HLA-B,TRIM28,HEK-293 cell
MAGED1,SPTLC1,HEK-293 cell
PHLDA3,EFTUD2,HEK-293 cell
SAP18,ATP5L,HEK-293 cell
SAP18,C6orf211,HEK-293 cell
YWHAZ,RPL31,HEK-293 cell
GSTK1,ATXN10,HEK-293 cell
IKBKE,SND1,HEK-293 cell
MCC,VPS35,HEK-293 cell
PHB2,COPG1,HEK-293 cell
HNF1A,SNRPA1,HEK-293 cell
TNFRSF14,PDIA6,HEK-293 cell
CD40,SLC39A7,HEK-293 cell
USF2,NPM1,HEK-293 cell
VHL,ATXN2,HEK-293 cell
ASF1B,PSPH,HEK-293 cell
EPB41,CALR,HEK-293 cell
LYAR,KPNA1,HEK-293 cell
LYAR,SRP14,HEK-293 cell
NEK6,EML4,HEK-293 cell
NEK6,KDELR1,HEK-293 cell
PINX1,AHCY,HEK-293 cell
PHB2,LGALS3BP,HEK-293 cell
VHL,CHMP2B,HEK-293 cell
WRAP73,RNF219,HEK-293 cell
YWHAG,RMDN3,HEK-293 cell
YWHAZ,NCKAP1,HEK-293 cell
HLA-B,MSN,HEK-293 cell
ASF1B,RPL31,HEK-293 cell
HUS1,HPRT1,HEK-293 cell
RIPK2,RPL38,HEK-293 cell
UBE2G2,MALT1,HEK-293 cell
ASF1B,MRPS7,HEK-293 cell
CASP4,GCN1L1,HEK-293 cell
GSTK1,SLC3A2,HEK-293 cell
KPTN,AUP1,HEK-293 cell
PTP4A3,UBE4A,HEK-293 cell
RNPS1,SRSF7,HEK-293 cell
CD40,FBL,HEK-293 cell
UBE2G2,CORO1A,HEK-293 cell
PHLDA3,CCDC47,HEK-293 cell
RASGRF2,EPPK1,HEK-293 cell
STK24,JPH3,HEK-293 cell
WRAP73,PSMD2,HEK-293 cell
YWHAG,DENND4A,HEK-293 cell
CDK2,NAA25,HEK-293 cell
CDK4,LYN,HEK-293 cell
GSK3B,ACLY,HEK-293 cell
IKBKE,HYOU1,HEK-293 cell
ILK,COPB2,HEK-293 cell
MAGED1,HSPB1,HEK-293 cell
PACSIN3,RPL35P5,HEK-293 cell
RNPS1,SNRPA,HEK-293 cell
STK24,SYNCRIP,HEK-293 cell
WRAP73,PFDN6,HEK-293 cell
WRAP73,MCM3,HEK-293 cell
YWHAZ,HNRNPL,HEK-293 cell
EPB41,PFAS,HEK-293 cell
PRKRA,RPL36,HEK-293 cell
PTP4A3,MCM3,HEK-293 cell
RIOK3,PSMC4,HEK-293 cell
TRAF6,VDAC1,HEK-293 cell
YWHAG,RABEP1,HEK-293 cell
DFFA,USP15,HEK-293 cell
ILK,ERH,HEK-293 cell
MCC,LTA4H,HEK-293 cell
NEK6,CDC37,HEK-293 cell
PINX1,CAPRIN1,HEK-293 cell
GIPC1,PDXDC1,HEK-293 cell
TRAF6,CTPS1,HEK-293 cell
TTC4,RNF219,HEK-293 cell
YWHAZ,PABPC4,HEK-293 cell
CASP4,USP9X,HEK-293 cell
NEK6,RUVBL2,HEK-293 cell
PHLDA3,RARS2,HEK-293 cell
SPOP,PIP5K1B,HEK-293 cell
AURKA,UBE2L3,HEK-293 cell
HNF1A,RHPN2,HEK-293 cell
WRAP73,GET4,HEK-293 cell
WRAP73,STIP1,HEK-293 cell
YWHAB,RABGEF1,HEK-293 cell
CDC42BPB,BRIX1,HEK-293 cell
CDK2,PCED1A,HEK-293 cell
ILK,HSPB1,HEK-293 cell
MAGED1,TELO2,HEK-293 cell
NEK6,PSMD2,HEK-293 cell
PTP4A3,GTF2I,HEK-293 cell
RNPS1,GID8,HEK-293 cell
TRAF6,MCM7,HEK-293 cell
FAM107A,DCD,HEK-293 cell
USF2,FUS,HEK-293 cell
VHL,MYL12A,HEK-293 cell
VHL,PPIB,HEK-293 cell
WRAP73,OGT,HEK-293 cell
YWHAG,CGN,HEK-293 cell
ARHGDIA,HNRNPA3,HEK-293 cell
ARRB1,HDGFRP2,HEK-293 cell
ARRB1,CSNK2A1,HEK-293 cell
ARRB1,CMBL,HEK-293 cell
ATIC,CMBL,HEK-293 cell
BRF2,XPO7,HEK-293 cell
BRF2,DNAAF5,HEK-293 cell
BRF2,IPO4,HEK-293 cell
BRF2,COPG1,HEK-293 cell
BRF2,ATAD3A,HEK-293 cell
BRF2,XPO4,HEK-293 cell
BRF2,MARS,HEK-293 cell
BRF2,AIFM1,HEK-293 cell
BRF2,GCN1L1,HEK-293 cell
BRF2,GEMIN4,HEK-293 cell
BRF2,OTUD4,HEK-293 cell
BRF2,TNPO3,HEK-293 cell
BRF2,FANCI,HEK-293 cell
BRF2,NOC2L,HEK-293 cell
BRF2,TMEM33,HEK-293 cell
BRF2,DPM1,HEK-293 cell
BRF2,ABCD3,HEK-293 cell
BRF2,SLC3A2,HEK-293 cell
BRF2,PTPLAD1,HEK-293 cell
BRF2,NUP93,HEK-293 cell
BRF2,XPO6,HEK-293 cell
BRF2,SMPD4,HEK-293 cell
BRF2,MYO1B,HEK-293 cell
BRF2,RNF219,HEK-293 cell
BRF2,SMAP1,HEK-293 cell
BRF2,SF3B1,HEK-293 cell
CASP4,UFL1,HEK-293 cell
CASP4,VDAC3,HEK-293 cell
CD2BP2,CMBL,HEK-293 cell
CDC20,KRT33A,HEK-293 cell
CDK5RAP3,UFL1,HEK-293 cell
CDK5RAP3,ARL1,HEK-293 cell
CIAO1,MYO1C,HEK-293 cell
DLG3,CAMK2A,HEK-293 cell
DLG3,KRT31,HEK-293 cell
DLG3,KRT35,HEK-293 cell
DLG3,KRT85,HEK-293 cell
DLG3,KRT34,HEK-293 cell
DLG3,ANXA1,HEK-293 cell
DLG3,CUL2,HEK-293 cell
DLG3,KRT82,HEK-293 cell
DLG3,KLHDC3,HEK-293 cell
DLG3,HIST1H2BC,HEK-293 cell
DLG3,S100A3,HEK-293 cell
EXT2,STK16,HEK-293 cell
EXT2,SNCG,HEK-293 cell
EXT2,HYOU1,HEK-293 cell
EXT2,CNTF,HEK-293 cell
EXT2,TCEB1,HEK-293 cell
EXT2,RPS29,HEK-293 cell
EXT2,CRB1,HEK-293 cell
EXT2,CLEC2L,HEK-293 cell
GABARAPL2,HBG1,HEK-293 cell
GH1,STRAP,HEK-293 cell
GSK3B,STRAP,HEK-293 cell
GSK3B,SF3B1,HEK-293 cell
HDAC3,SF3B1,HEK-293 cell
HNF4A,EXT2,HEK-293 cell
LYAR,DDX21,HEK-293 cell
MYC,SNRNP200,HEK-293 cell
MYC,HEATR1,HEK-293 cell
MYC,METTL13,HEK-293 cell
MYC,NUP205,HEK-293 cell
MYC,MSH6,HEK-293 cell
MYC,MCM7,HEK-293 cell
MYC,POLE,HEK-293 cell
MYC,NUP93,HEK-293 cell
MYC,FANCI,HEK-293 cell
MYC,GCN1L1,HEK-293 cell
MYC,DDX24,HEK-293 cell
MYC,ARHGEF2,HEK-293 cell
MYC,GEMIN4,HEK-293 cell
MYC,PRPF8,HEK-293 cell
MYC,MYBBP1A,HEK-293 cell
MYC,EXOC4,HEK-293 cell
MYC,GTF3C3,HEK-293 cell
MYC,MAX,HEK-293 cell
MYC,MKLN1,HEK-293 cell
MYC,EFTUD2,HEK-293 cell
MYC,SMARCA4,HEK-293 cell
MYC,MYO1B,HEK-293 cell
MYC,HNRNPC,HEK-293 cell
MYC,PDS5A,HEK-293 cell
MYC,CCAR2,HEK-293 cell
NEK6,MYO1C,HEK-293 cell
NME2,DYNC1H1,HEK-293 cell
NME2,PPP1R7,HEK-293 cell
NME2,EPPK1,HEK-293 cell
NME2,ACLY,HEK-293 cell
NME2,HIST1H2BC,HEK-293 cell
NME2,LYZ,HEK-293 cell
NME2,POLR2H,HEK-293 cell
NME2,HTR1B,HEK-293 cell
NME2,PPP1R8,HEK-293 cell
NME2,RUVBL2,HEK-293 cell
NME2,PDIA6,HEK-293 cell
NME2,ATIC,HEK-293 cell
NME2,PSMA2,HEK-293 cell
NME2,PSMA7,HEK-293 cell
NME2,STIP1,HEK-293 cell
NME2,KIF5B,HEK-293 cell
NME2,RPL38,HEK-293 cell
PANK2,LXN,HEK-293 cell
PANK2,VDAC1,HEK-293 cell
PANK2,DHX36,HEK-293 cell
PANK2,RASGRF2,HEK-293 cell
PANK2,QRICH2,HEK-293 cell
PHLDA3,SMAP1,HEK-293 cell
