Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
EIF6,RGS10,HEK-293 cell
MCC,VCP,HEK-293 cell
MCRS1,CSNK2B,HEK-293 cell
RNPS1,LUC7L3,HEK-293 cell
ARRB1,CHD1,HEK-293 cell
EIF4EBP1,EIF4E,HEK-293 cell
PINX1,PABPC1,HEK-293 cell
ROCK2,STK16,HEK-293 cell
STK24,STRIP1,HEK-293 cell
ILK,OTUD4,HEK-293 cell
PPP1CB,PPP1R2,HEK-293 cell
PTP4A3,NCAPG,HEK-293 cell
CAMK2A,CALM3,HEK-293 cell
CD2BP2,USP39,HEK-293 cell
EIF3A,EIF3K,HEK-293 cell
PHLDA3,PDCD6IP,HEK-293 cell
PTP4A3,SRPRB,HEK-293 cell
ARHGDIA,CDC42,HEK-293 cell
GIPC1,GEMIN4,HEK-293 cell
SUSD2,UGGT1,HEK-293 cell
YWHAZ,USP8,HEK-293 cell
SERINC3,PHB2,HEK-293 cell
CD2BP2,SNRNP40,HEK-293 cell
IKBKE,ACLY,HEK-293 cell
NFKBIL1,LUC7L,HEK-293 cell
LYAR,DHX57,HEK-293 cell
PTP4A3,FANCI,HEK-293 cell
STK24,PPP2CB,HEK-293 cell
GSTK1,HNRNPM,HEK-293 cell
GH1,LTA4H,HEK-293 cell
PHLDA3,TTC27,HEK-293 cell
PTP4A3,XPO7,HEK-293 cell
PHB2,JUP,HEK-293 cell
ARRB2,KPNA4,HEK-293 cell
PTP4A3,PSMD3,HEK-293 cell
YWHAB,EDC3,HEK-293 cell
ACP6,RGS10,HEK-293 cell
BRE,BABAM1,HEK-293 cell
CDK5RAP3,UFM1,HEK-293 cell
GABARAPL2,ATG4B,HEK-293 cell
PPP4C,PPP4R1,HEK-293 cell
PSMD10,PSMD6,HEK-293 cell
SNRPB,DYNC1H1,HEK-293 cell
ASF1B,RPS3A,HEK-293 cell
MOB1A,S100A8,HEK-293 cell
PINX1,TXN,HEK-293 cell
PPM1B,KRT18,HEK-293 cell
BAK1,AKAP13,HEK-293 cell
GSTK1,SEC63,HEK-293 cell
LGALS9,JUP,HEK-293 cell
LYAR,RPL3,HEK-293 cell
PHLDA3,NUP205,HEK-293 cell
TTBK1,TTBK2,HEK-293 cell
IKBKE,ATIC,HEK-293 cell
ACP6,RSU1,HEK-293 cell
CASP4,SMC3,HEK-293 cell
EIF3A,EIF3M,HEK-293 cell
EIF6,RPL3,HEK-293 cell
NEK6,CCAR2,HEK-293 cell
PPP1CB,PPP1R11,HEK-293 cell
RNPS1,WDR33,HEK-293 cell
CDK2,UBE2M,HEK-293 cell
TSPAN17,PTPLAD1,HEK-293 cell
MCRS1,UBR4,HEK-293 cell
RAD51,TIMM13,HEK-293 cell
ULK1,GABARAP,HEK-293 cell
GSTK1,DCTN1,HEK-293 cell
WRAP73,PHYH,HEK-293 cell
YWHAB,TJP2,HEK-293 cell
EXT1,CNTF,HEK-293 cell
LYAR,TSR1,HEK-293 cell
NFKBIL1,PNN,HEK-293 cell
NPRL2,UBE2M,HEK-293 cell
CDC25B,KRT35,HEK-293 cell
GSTK1,CYCS,HEK-293 cell
IKBKE,VCP,HEK-293 cell
MCC,CSNK1D,HEK-293 cell
TRIP6,MOB1A,HEK-293 cell
GSTK1,RPN2,HEK-293 cell
RUVBL1,FDFT1,HEK-293 cell
ARRB1,BOP1,HEK-293 cell
EIF3A,EIF3D,HEK-293 cell
GSK3B,GSKIP,HEK-293 cell
PINX1,RPS10,HEK-293 cell
HNF1A,PCBD1,HEK-293 cell
TFE3,CUL2,HEK-293 cell
CD2BP2,PUF60,HEK-293 cell
LYAR,BRIX1,HEK-293 cell
NEK6,IPO4,HEK-293 cell
RAB10,AP1S1,HEK-293 cell
RGS10,SAP18,HEK-293 cell
TAGLN,S100A9,HEK-293 cell
SERINC3,SURF4,HEK-293 cell
CD40,CALR,HEK-293 cell
VHL,PFAS,HEK-293 cell
YWHAG,CRTC2,HEK-293 cell
YWHAZ,DFFA,HEK-293 cell
PTP4A3,HEATR1,HEK-293 cell
RNPS1,SRRT,HEK-293 cell
STK38L,KRT31,HEK-293 cell
YWHAG,SHCBP1,HEK-293 cell
HLA-B,EZR,HEK-293 cell
SAP18,DDOST,HEK-293 cell
TRAF6,MTHFD1,HEK-293 cell
CDK5RAP3,UFC1,HEK-293 cell
CTNNBIP1,CPVL,HEK-293 cell
MEN1,RPRM,HEK-293 cell
CHMP1A,KIAA1715,HEK-293 cell
RNPS1,DDX23,HEK-293 cell
MCC,MYH10,HEK-293 cell
PNKP,NOM1,HEK-293 cell
PTP4A3,RAB3GAP2,HEK-293 cell
RNPS1,PRPF6,HEK-293 cell
CASP4,MTHFD1L,HEK-293 cell
RNPS1,SRRM2,HEK-293 cell
CFL1,TAGLN,HEK-293 cell
GAS8,CIAO1,HEK-293 cell
GIPC1,NUP93,HEK-293 cell
VHL,TCEB1,HEK-293 cell
HLA-B,TARS,HEK-293 cell
ARF6,DHPS,HEK-293 cell
DEGS1,PYGM,HEK-293 cell
ELOVL1,TWF2,HEK-293 cell
PAK4,CDC42,HEK-293 cell
ARRB1,ARR3,HEK-293 cell
LGALS9,SLC1A5,HEK-293 cell
NEK6,NEK7,HEK-293 cell
YWHAB,FOXK1,HEK-293 cell
YWHAB,DENND4A,HEK-293 cell
CTNNBIP1,PNMA2,HEK-293 cell
AKTIP,IARS,HEK-293 cell
CLEC3B,KRT18,HEK-293 cell
YWHAB,FRYL,HEK-293 cell
MCC,KRT18,HEK-293 cell
RNPS1,NUDT21,HEK-293 cell
UBE2M,PRKAR1A,HEK-293 cell
ARRB2,BOP1,HEK-293 cell
CTNNBIP1,NACAP1,HEK-293 cell
LYAR,KRT31,HEK-293 cell
MCRS1,UBR5,HEK-293 cell
HNF1A,PCBD2,HEK-293 cell
ASF1B,DOK2,HEK-293 cell
GSK3B,XPO6,HEK-293 cell
HNF4A,STK16,HEK-293 cell
SAE1,SUMO3,HEK-293 cell
VHL,PSMB1,HEK-293 cell
IKBKE,PLS3,HEK-293 cell
MCC,TPM3,HEK-293 cell
NEK6,LRPPRC,HEK-293 cell
PNKP,XRCC4,HEK-293 cell
PPM1B,VIL1,HEK-293 cell
RNPS1,CPSF6,HEK-293 cell
DFFA,DFFB,HEK-293 cell
KHK,LCN1,HEK-293 cell
NFKBIL1,MRPS34,HEK-293 cell
PHLDA3,HNRNPM,HEK-293 cell
PTP4A3,DNAAF5,HEK-293 cell
CD40,SGK1,HEK-293 cell
TRAF6,NASP,HEK-293 cell
YWHAB,SLC4A7,HEK-293 cell
ACP6,DHX36,HEK-293 cell
DEGS1,SURF4,HEK-293 cell
EIF2B1,PDIA4,HEK-293 cell
KHK,LYZ,HEK-293 cell
PARP3,RPA3,HEK-293 cell
PNKP,NOL3,HEK-293 cell
PPP1CB,PPP1R8,HEK-293 cell
DSTYK,HSPE1,HEK-293 cell
CD40,USP15,HEK-293 cell
YWHAZ,BRAF,HEK-293 cell
CDK4,CDKN2C,HEK-293 cell
CDK5RAP3,DDRGK1,HEK-293 cell
FADS1,PAAF1,HEK-293 cell
ILK,FANCI,HEK-293 cell
NFKBIL1,MRPL44,HEK-293 cell
PHLDA3,IPO4,HEK-293 cell
RAB17,CHMP6,HEK-293 cell
RAD51D,RADIL,HEK-293 cell
YWHAG,LUC7L2,HEK-293 cell
ARHGDIA,EIF2B1,HEK-293 cell
CAMK2A,CHMP5,HEK-293 cell
CASP4,GSN,HEK-293 cell
MPDU1,PMVK,HEK-293 cell
UBE2I,SUMO1,HEK-293 cell
VHL,TCEB2,HEK-293 cell
CFLAR,SF3B3,HEK-293 cell
GABARAPL2,ATG3,HEK-293 cell
GSK3B,DHX36,HEK-293 cell
OSGEP,LAGE3,HEK-293 cell
CDK14,IGHA2,HEK-293 cell
PPM1B,S100A8,HEK-293 cell
DSTYK,MTPN,HEK-293 cell
SERINC3,VDAC2,HEK-293 cell
UBE2I,SUMO3,HEK-293 cell
UBE2M,UBA3,HEK-293 cell
YWHAZ,KLC1,HEK-293 cell
AK1,KMT2C,HEK-293 cell
CDC20,KRT32,HEK-293 cell
CTNNBIP1,CTSA,HEK-293 cell
DEGS1,SLC16A1,HEK-293 cell
GSTK1,IARS,HEK-293 cell
PSMD10,PSMD12,HEK-293 cell
RAB5C,SUN2,HEK-293 cell
TNFRSF14,GCN1L1,HEK-293 cell
ATIC,JAK1,HEK-293 cell
BAK1,FBL,HEK-293 cell
BAK1,SRRM2,HEK-293 cell
BCL10,HIST1H2BC,HEK-293 cell
ILK,GEMIN4,HEK-293 cell
LYAR,RPS9,HEK-293 cell
SAP18,RGS10,HEK-293 cell
HLA-B,PLS3,HEK-293 cell
TWF2,KRT82,HEK-293 cell
SERINC3,KDELR1,HEK-293 cell
CIAO1,CCAR2,HEK-293 cell
AKTIP,TIMM50,HEK-293 cell
ILK,DDX3X,HEK-293 cell
LYAR,GTPBP4,HEK-293 cell
NEK6,SMC3,HEK-293 cell
DSTYK,PSMB1,HEK-293 cell
STK38L,MOB1A,HEK-293 cell
SERINC3,PTPLAD1,HEK-293 cell
VHL,RHOC,HEK-293 cell
ASF1B,C15orf41,HEK-293 cell
BCL10,KRT33B,HEK-293 cell
CAB39,EBLN2,HEK-293 cell
NEK6,MCM7,HEK-293 cell
PACSIN3,RPL23A,HEK-293 cell
RUVBL2,PLOD2,HEK-293 cell
SMYD2,AKAP11,HEK-293 cell
CLEC3B,OTUD4,HEK-293 cell
VHL,CNTF,HEK-293 cell
CDC20,CCDC59,HEK-293 cell
GABARAPL2,LRPPRC,HEK-293 cell
MCC,CSNK1E,HEK-293 cell
PGRMC1,DNAAF5,HEK-293 cell
PRKRA,SYNCRIP,HEK-293 cell
RAD51D,DCD,HEK-293 cell
TIMP2,SNCG,HEK-293 cell
GSK3B,RPF2,HEK-293 cell
MAGED1,MTHFD1L,HEK-293 cell
RNPS1,SFSWAP,HEK-293 cell
RNPS1,THRAP3,HEK-293 cell
SNAI1,QRICH2,HEK-293 cell
TRAF6,VARS,HEK-293 cell
USF2,BIRC5,HEK-293 cell
VHL,TXN,HEK-293 cell
ARRB2,ARRB1,HEK-293 cell
EFHD1,TCHH,HEK-293 cell
EXT1,OSTF1,HEK-293 cell
PINX1,HRNR,HEK-293 cell
PINX1,RPL31,HEK-293 cell
RIPK2,KCTD12,HEK-293 cell
RUVBL2,RUVBL1,HEK-293 cell
STK24,SLMAP,HEK-293 cell
BSG,RANBP3,HEK-293 cell
